No,Clause,RiskRegex
16,"계약 위반에 따른 손해배상은 실제 손해액과 객관적 증빙에 따라 산정하며, 보증금을 전액 또는 정액으로 일률 몰취하지 않는다.",(보증금|계약금).*(전액|정액).*(몰수|몰취)|위약금\s*\d+\s*%
17,"임차인은 주택임대차보호법상 계약갱신요구권을 행사할 수 있으며, 임대인은 법정 예외사유가 없는 한 이를 거절하거나 사전 포기를 요구하지 않는다",계약갱신(요구)?권.*(포기|행사.*하지 않)
18,"계약 해지권은 당사자 간 대칭적으로 부여하며, 해지 사유·통지방법·통지기간을 계약서에 명확히 정한다. 임대인 단독의 일방 해지권이나 사전통지 없는 해지는 허용하지 않는다.",임대인.*(일방|임의).*(해지.*가능)|사전통지.*없.*해지
19,"임대인은 임차인의 목적물 인도일로부터 ○일 이내 보증금을 반환하며, 지체 시 법령 및 약정에 따른 지연손해금을 지급한다.",보증금.*(지연|지체).*(이자|손해금).*(면제|지급하지 않)|반환.*기한.*없
20,"임차인의 원상회복 범위에는 통상의 사용·마모는 포함되지 않으며, 노후·자연 소모는 임대인이 부담한다.",통상(의)?\s*손모.*(포함|임차인.*부담)|자연\s*소모.*임차인
21,"임대인은 임차인의 전입신고·확정일자 등 대항력·우선변제권 취득·유지에 협조하고, 그 행사를 제한하는 약정을 두지 않는다.",전입신고.*(불가|금지)|확정일자.*(불가|제한)|대항력.*포기
22,"임대인은 등기부등본상의 근저당·가압류 등 권리관계와 체납세금 여부를 계약 체결 전에 서면 고지하며, 임차인의 권리를 해할 수 있는 권리는 잔금 수령과 동시에 말소·정리한다.",(근저당|가압류|압류|체납).*(고지.*없|알릴.*의무.*없)|말소.*의무.*없|잔금.*말소.*아님
23,"임대인과 공인중개사는 목적물 및 권리관계에 관한 사실을 정확히 고지하며, 허위·과실로 임차인에게 손해가 발생한 경우 관련 법령에 따라 책임을 부담한다. 중개사 책임 면제 특약은 두지 않는다.",(중개사|공인중개사).*(면책|책임(지지 않|없))
24,"임차인은 확정일자 부여·전세권 설정 등 보증금 보호 수단을 자유롭게 선택하여 실시할 수 있으며, 임대인은 이에 필요한 서류를 제공하고 정당한 사유 없이 방해하거나 제한하지 않는다.",확정일자.*(불가|제한)|전세권.*(설정.*불가|금지)|보증금.*보호.*수단.*불가
25,"차임 증액은 법령이 정한 범위(예: 연 ○% 이내)를 초과할 수 없으며, 증액 시 임대인은 최소 ○일 전에 서면 통지한다.",(차임|임대료).*(자유|임의).*(인상|증액)|사전\s*통지.*없.*증액
26,"공용부분 전기료·수선충당금 등 건물 공용비용은 임대인이 부담하고, 임차인은 개별 계량되는 사용분(전기·가스·수도 등)만 부담한다. 임대인은 월별 내역/영수증을 교부한다.",관리비.*전액.*임차인|공용(부|부분).*(전기|수선충당금|유지보수비).*(임차인.*부담)|영수증.*제공.*없
27,"보증금 반환 지체에 대한 지연손해금 면제 특약은 두지 않으며, 임차인은 필요 시 임차권등기명령·가압류 등 권리보전을 할 수 있고 임대인은 이에 협조한다.",지연손해금.*면제|임차권등기.*(불허|금지)
28,"임대인은 보증금 전액을 반환함과 동시에, 임차인은 임차권등기 말소 등 보전조치 해제에 필요한 서류 제출 및 절차에 협조한다.",임차권등기.*(말소.*후.*반환|선행.*말소|말소.*조건.*반환)
29,"임차인은 본인이 설치·변경한 부분에 한하여 계약 종료 시 원상회복한다. 종전 임차인이 설치한 시설물은 원상회복 대상에 포함하지 않으며, 인도 당시 인계 목록에 따른다.",종전.*임차인.*설치.*(철거|원상복구).*임차인.*부담|인계.*목록.*무시
30,"임대차계약의 해지는 법령과 본 계약서가 정한 사유 및 절차에 따른다. 임차인의 채권자 등 제3자는 임차인을 대위하여 해지할 수 없으며, 단순 대출 연체는 해지 사유로 보지 아니한다(법령에 다른 규정이 있는 경우 제외).",(채권자|금융기관).*(대위.*해지)|대출.*연체.*즉시.*해지
31,"분쟁 발생 시 당사자는 주택임대차분쟁조정위원회 조정을 우선 시도하되, 조정 불성립 또는 개시 후 30일 경과 시 각 당사자는 법원에 제소할 수 있다.",소\s*제기\s*불가|제소\s*금지|법원.*이용.*불가|임대인\s*지정.*절차.*만
32,"임차인이 보증금 반환채권을 양도하거나 담보로 제공하는 경우, 확정일자 있는 서면으로 임대인에게 통지하거나 임대인의 서면 승낙을 받는다.",(보증금|반환채권).*(양도|담보).*(불가|금지)|통지.*없.*효력
33,"임대인은 임차인의 인도일로부터 ○일 이내에 보증금을 반환하며, 지체 시 민법 및 약정에 따른 지연손해금을 지급한다. 권리보전이 필요한 경우 임차인의 임차권등기명령 신청에 협조한다.",보증금.*(지연|지체).*(이자|손해금).*(면제|지급하지 않)|반환.*기한.*없
34,"임대인은 목적물의 소유권, 근저당권, 압류 등 권리관계에 변동이 생긴 경우, 변동일로부터 7일 이내에 임차인에게 서면으로 통지하여야 하며, 새로운 소유자는 본 계약을 승계한다.",권리관계.*변동.*(통지.*없|알릴.*의무.*없)|매수인.*(승계.*하지 않|부인)
35,"임대인은 임차인의 보증금 반환을 보장하기 위하여 보증보험·지급보증 또는 에스크로 제도를 이용하고, 그 증빙을 계약 체결 시 임차인에게 교부한다.",(보증보험|에스크로).*(가입.*하지 않|의무.*없|제공.*불가)
36,"임대료 증액은 계약기간 중 연 5%를 초과할 수 없으며, 증액 사유 발생 시 임대인은 최소 30일 전에 임차인에게 서면으로 통지하여야 한다.",(차임|임대료).*(자유|임의).*(인상|증액)|사전\s*통지.*없.*증액
37,"관리비 및 공용부 전기료 등 부대비용의 항목과 산정 기준은 계약서에 명확히 기재하고, 임대인은 매월 내역서와 영수증을 임차인에게 제공한다.",관리비.*(항목|내역|산정).*(명시.*없|제공.*없)|영수증.*제공.*없
38,"임대인 또는 그가 지정한 수리업체는 긴급 상황을 제외하고는 목적물에 출입할 수 없으며, 출입이 필요한 경우 최소 24시간 전에 임차인에게 통지하고 임차인의 동의를 받아야 한다.",출입.*(사전\s*통지.*없|동의.*없).*가능|임대인.*임의.*출입
39,"임차인이 하자를 서면으로 통보한 경우, 임대인은 긴급 하자는 24시간 이내, 일반 하자는 5영업일 이내에 수리하여야 한다. 기한 내 수리를 하지 않을 경우 임차인은 직접 수리 후 비용을 임대료와 상계할 수 있다.",상계.*불가|자기\s*수선.*금지|하자.*(수리.*지연.*허용|기간.*정하지 않)
40,"임대인은 임차인에게 목적물을 인도하기 전에 기본 청소 및 해충 방제를 완료하고, 인도 시 설비의 작동 상태를 확인한 인수인계서를 작성·교부한다.",(청소|방제).*(하지 않|의무.*없)|인수인계서.*(작성.*않|없)
41,"입주 및 퇴거 시 임대인과 임차인은 사진, 영상 및 체크리스트를 작성하여 목적물의 상태를 공동으로 기록하고, 분쟁 발생 시 이를 증거자료로 활용한다.",(사진|영상|체크리스트).*(작성|촬영).*(금지|불가)|증거.*사용.*불가
42,"임대인이 목적물의 공사나 수선을 실시하는 경우, 임대인은 최소 7일 전에 임차인에게 서면으로 통지하고, 공사는 평일 오전 9시부터 오후 6시 사이에 진행한다. 장기간 공사로 거주가 곤란한 경우, 임대인은 해당 기간에 비례하여 임대료를 감액한다.",(공사|수선).*(사전\s*통지.*없).*진행|소음|분진.*(감액.*불가|해지.*불가)
43,"임대인은 임차인의 전입신고 및 확정일자 부여에 필요한 서류를 제공하며, 임차인의 권리 보전을 위한 절차에 협조한다.",전입신고.*(불가|금지)|확정일자.*(불가|제한)
44,"임대인이 목적물을 매도하는 경우, 매수인은 본 계약의 임대인 지위를 승계하며, 임대인은 소유권 이전 예정일 30일 전까지 임차인에게 서면으로 통지한다.",매수인.*(승계.*하지 않|부인)|임대인 변경.*즉시.*퇴거
45,"임차인이 지급하는 임대료의 입금 계좌 예금주 명의는 임대인의 성명과 일치하여야 하며, 계좌 변경이 필요한 경우 임대인은 서면으로 임차인에게 통지한다.",제3자.*계좌|예금주.*불일치|계좌.*변경.*사전\s*통지.*없
46,"임대인은 임차인의 개인정보를 임대차 관리 목적 외에는 사용하지 않으며, 출입기록과 CCTV 영상은 관련 법령에 따라 관리하고, 열람이나 제공이 필요한 경우 반드시 임차인의 사전 동의를 받는다.",개인정보.*(자유|임의).*이용|CCTV.*(동의.*없.*제공|사용)|출입기록.*동의.*없
47,"임대인은 건물에 대한 화재 및 재난보험에 가입하고, 보험증권 사본을 임차인에게 교부한다. 건물 구조 또는 설비의 하자로 발생한 손해는 임대인이 부담한다.",보험.*가입.*하지 않|화재|재난.*손해.*임차인.*부담
48,"임차인이 반려동물을 양육하는 경우, 임대인은 이를 허용하되, 종류·체중·마릿수 등 합리적인 기준을 계약서에 명시한다. 반려동물로 인한 손해가 발생한 경우 임차인은 실제 손해액 범위 내에서 부담한다.",반려동물.*즉시.*해지|반려동물.*보증금.*(몰수|몰취)
49,"임차인이 계약 종료 시 목적물의 원상회복을 할 때, 수선·교체 비용은 감가상각을 반영하여 산정하며, 임대인은 내역서와 영수증을 교부하여야 한다. 보증금에서 비용을 공제하는 경우 임대인은 정산서를 작성하여 임차인에게 제공한다.",감가상각.*불인정|원상회복.*정액|정산서.*제공.*없
50,"본 계약은 전자계약 시스템을 사용할 수 있으며, 특약과 표준계약서가 상충하는 경우 임차인에게 과도하게 불리한 해석을 하지 않는다.",특약.*우선.*임차인.*불리.*해석|전자계약.*부인
